         111611055 function calls (108786268 primitive calls) in 138.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2521   13.673    0.005   13.673    0.005 {method 'encode' of 'ImagingEncoder' objects}
        1    5.789    5.789    5.789    5.789 {method 'to_table' of 'pyarrow._dataset.Dataset' objects}
    17939    3.787    0.000    3.787    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
  1270446    3.054    0.000    3.054    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    25200    2.451    0.000    2.861    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/jplephem/spk.py:194(generate)
    10710    2.209    0.000    2.712    0.000 {method 'draw_quad_mesh' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     8960    2.161    0.000    2.161    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    2.060    2.060    2.178    2.178 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/pyarrow/dataset.py:426(_filesystem_dataset)
        1    2.051    2.051   10.101   10.101 /home/waves/projects/MATS/MATS-utility-functions/src/mats_utils/rawdata/read_data.py:7(read_MATS_data)
2873910/1920506    2.043    0.000    4.063    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:289(stale)
1878991/1510072    1.998    0.000   11.725    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1960    1.720    0.001    1.817    0.001 {built-in method matplotlib._image.resample}
    16800    1.395    0.000    1.395    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    42672    1.255    0.000    6.200    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:298(_get_layout)
   711784    1.205    0.000    1.216    0.000 {built-in method numpy.array}
   791938    1.092    0.000    3.204    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
  1693327    1.077    0.000    1.371    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/__init__.py:658(__getitem__)
3711161/3707927    1.059    0.000    2.754    0.000 {built-in method builtins.getattr}
   496776    1.046    0.000    1.662    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:2028(_setattr_cm)
6939065/6939021    1.027    0.000    1.201    0.000 {built-in method builtins.isinstance}
   869774    1.000    0.000    1.745    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/pyproj/utils.py:88(_copytobuffer)
   361177    0.977    0.000    1.981    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:754(__init__)
    34920    0.956    0.000    7.317    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/ticker.py:2081(_raw_ticks)
118880/114460    0.850    0.000    4.514    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:1143(_update_props)
   132199    0.820    0.000   10.646    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:874(get_window_extent)
1023754/1023752    0.788    0.000    0.788    0.000 {built-in method numpy.asarray}
      980    0.778    0.001    5.216    0.005 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/image.py:328(_make_image)
   562688    0.765    0.000    1.652    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/copy.py:66(copy)
   434600    0.763    0.000    1.355    0.000 {method '_transform' of 'pyproj._transformer._Transformer' objects}
   141400    0.753    0.000    1.361    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/tokenize.py:433(_tokenize)
   313722    0.750    0.000    1.113    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/font_manager.py:720(__hash__)
   953073    0.740    0.000    0.740    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1665    0.720    0.000    0.761    0.000 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    19814    0.715    0.000   19.018    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:1185(_update_ticks)
   434600    0.665    0.000    4.078    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/pyproj/transformer.py:688(transform)
    11690    0.646    0.000    1.769    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/colors.py:683(__call__)
    98560    0.641    0.000    1.178    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:1760(normalize_kwargs)
   383237    0.610    0.000    1.375    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1886(__init__)
216752/178454    0.603    0.000    2.090    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2441(get_affine)
   716176    0.594    0.000    0.825    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1769(__init__)
    37002    0.570    0.000    0.570    0.000 {built-in method zlib.crc32}
      754    0.569    0.001    0.689    0.001 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/shapely/coords.py:164(xy)
225333/225039    0.539    0.000    1.305    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/cbook/__init__.py:294(process)
   280568    0.533    0.000    2.918    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
   211957    0.504    0.000    1.715    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
   315562    0.499    0.000    0.499    0.000 {method 'match' of 're.Pattern' objects}
